# time  ID  size  fromHost  toHost  TTL  isResponse
0.5882 M1 1484638 dtn6_38 ADB9 140 N 
3.6611 N1 1000000 ADB9 dtn1_25 140 N 
7.1403 M2 2144201 dtn4_33 ADB9 140 N 
10.3683 M3 1829931 dtn8_45 ADB9 140 N 
11.9461 M4 1468122 dtn6_40 ADB9 140 N 
15.0003 M5 1295971 dtn2_26 ADB9 140 N 
15.1234 M6 2300554 dtn6_40 ADB9 140 N 
18.0536 M7 2006241 dtn6_40 ADB9 140 N 
22.7883 M8 1661032 dtn4_34 ADB9 140 N 
24.0655 M9 1666703 dtn1_23 ADB9 140 N 
27.1161 M10 2027347 dtn1_25 ADB9 140 N 
27.3676 M11 2269587 dtn8_44 ADB9 140 N 
35.1596 M12 1087686 dtn4_32 ADB9 140 N 
37.0331 M13 1367273 dtn8_46 ADB9 140 N 
40.8239 M14 2228040 dtn2_28 ADB9 140 N 
41.2518 M15 1380680 dtn5_36 ADB9 140 N 
42.0931 M16 1045086 dtn6_38 ADB9 140 N 
43.7427 M17 1722848 dtn3_30 ADB9 140 N 
44.9586 M18 2211571 dtn2_26 ADB9 140 N 
45.4957 M19 1530271 dtn7_42 ADB9 140 N 
45.8101 M20 1991397 dtn6_39 ADB9 140 N 
49.2589 M21 1294029 dtn5_35 ADB9 140 N 
54.2191 M22 2626902 dtn1_23 ADB9 140 N 
58.6997 M23 1348700 dtn1_24 ADB9 140 N 
58.9948 M24 2140222 dtn1_25 ADB9 140 N 
59.1853 M25 2451216 dtn6_38 ADB9 140 N 
60.0163 M26 1995680 dtn3_31 ADB9 140 N 
62.6962 M27 1885202 dtn6_38 ADB9 140 N 
62.8730 M28 2519301 dtn8_44 ADB9 140 N 
65.6930 M29 2503373 dtn1_23 ADB9 140 N 
66.5924 M30 1733640 dtn1_25 ADB9 140 N 
66.9927 M31 2464884 dtn7_41 ADB9 140 N 
67.2624 M32 1559729 dtn8_45 ADB9 140 N 
71.5957 M33 1370826 dtn2_28 ADB9 140 N 
74.2694 M34 2472383 dtn2_26 ADB9 140 N 
78.7884 M35 2600773 dtn3_31 ADB9 140 N 
79.6460 M36 1707738 dtn1_25 ADB9 140 N 
81.5094 M37 2777199 dtn3_29 ADB9 140 N 
84.4790 M38 1417990 dtn7_41 ADB9 140 N 
85.7735 M39 2388064 dtn5_36 ADB9 140 N 
85.9665 M40 1678625 dtn3_29 ADB9 140 N 
88.1631 M41 2270945 dtn3_30 ADB9 140 N 
89.7701 M42 1963752 dtn1_24 ADB9 140 N 
90.1962 M43 1921516 dtn4_33 ADB9 140 N 
92.1189 M44 1729461 dtn4_33 ADB9 140 N 
92.6752 M45 1388356 dtn1_23 ADB9 140 N 
92.8259 M46 2045451 dtn5_35 ADB9 140 N 
93.2026 M47 1529000 dtn4_34 ADB9 140 N 
95.2624 M48 2112761 dtn5_37 ADB9 140 N 
97.7334 M49 1156756 dtn5_36 ADB9 140 N 
98.4521 M50 1778216 dtn7_41 ADB9 140 N 
98.7786 M51 2542038 dtn4_33 ADB9 140 N 
101.4305 M52 2483915 dtn5_35 ADB9 140 N 
102.7609 M53 2183464 dtn8_44 ADB9 140 N 
105.0457 M54 2201506 dtn6_40 ADB9 140 N 
108.5005 M55 2996688 dtn5_36 ADB9 140 N 
110.5674 M56 2389225 dtn5_35 ADB9 140 N 
110.7961 M57 1941579 dtn1_24 ADB9 140 N 
114.8882 M58 2811066 dtn8_46 ADB9 140 N 
115.4809 M59 2163117 dtn8_46 ADB9 140 N 
115.7780 M60 1006581 dtn6_38 ADB9 140 N 
116.7883 M61 1510399 dtn2_27 ADB9 140 N 
117.1015 M62 1320680 dtn7_42 ADB9 140 N 
117.1130 M63 1440661 dtn5_37 ADB9 140 N 
120.5641 M64 1384863 dtn4_34 ADB9 140 N 
121.6671 M65 2037079 dtn6_40 ADB9 140 N 
124.2349 M66 1667533 dtn7_42 ADB9 140 N 
124.8550 M67 1675185 dtn7_41 ADB9 140 N 
126.5252 M68 1297770 dtn7_43 ADB9 140 N 
130.7955 M69 2532856 dtn5_36 ADB9 140 N 
131.1019 N2 1000000 ADB9 dtn2_28 140 N 
131.6486 M70 2870477 dtn3_30 ADB9 140 N 
131.7505 M71 2284336 dtn8_45 ADB9 140 N 
131.9655 M72 2453264 dtn7_42 ADB9 140 N 
132.3072 M73 1468340 dtn7_41 ADB9 140 N 
137.2902 M74 1183682 dtn7_42 ADB9 140 N 
137.8525 M75 1618175 dtn8_45 ADB9 140 N 
138.2975 M76 2601479 dtn1_23 ADB9 140 N 
142.0130 M77 1030476 dtn5_36 ADB9 140 N 
143.4858 N3 1000000 ADB9 dtn3_30 140 N 
145.8296 M78 2749524 dtn4_33 ADB9 140 N 
147.3075 M79 1720977 dtn7_43 ADB9 140 N 
147.4961 M80 1999278 dtn4_34 ADB9 140 N 
148.1191 M81 1975369 dtn8_45 ADB9 140 N 
150.3438 M82 2586604 dtn6_38 ADB9 140 N 
150.7210 M83 2745934 dtn1_23 ADB9 140 N 
151.3247 M84 1570569 dtn3_31 ADB9 140 N 
151.4340 M85 2846462 dtn4_33 ADB9 140 N 
155.4397 M86 1826254 dtn8_45 ADB9 140 N 
155.6940 M87 1628836 dtn7_41 ADB9 140 N 
172.1358 M88 1828271 dtn6_39 ADB9 140 N 
173.5304 M89 2216229 dtn3_29 ADB9 140 N 
174.3340 M90 2221262 dtn8_46 ADB9 140 N 
176.7808 M91 2149807 dtn8_45 ADB9 140 N 
177.8902 M92 2049614 dtn4_34 ADB9 140 N 
179.9764 M93 2362524 dtn4_32 ADB9 140 N 
181.8381 M94 1716388 dtn2_26 ADB9 140 N 
183.8838 M95 1769870 dtn7_43 ADB9 140 N 
185.3581 M96 2066893 dtn7_42 ADB9 140 N 
186.6020 M97 1022530 dtn3_29 ADB9 140 N 
188.3029 M98 2914657 dtn8_46 ADB9 140 N 
191.6134 M99 2266315 dtn6_40 ADB9 140 N 
194.2344 M100 2916248 dtn5_35 ADB9 140 N 
195.0355 M101 1386747 dtn8_45 ADB9 140 N 
