# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
32.9000 M5 1295971 1 17.8997 dtn2_26 ADB9 139 N dtn2_26->ADB9
55.2000 M15 1380680 4 13.9482 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
105.8000 M18 2211571 1 60.8414 dtn2_26 ADB9 138 N dtn2_26->ADB9
128.7000 M14 2228040 1 87.8761 dtn2_28 ADB9 138 N dtn2_28->ADB9
134.2000 M33 1370826 1 62.6043 dtn2_28 ADB9 138 N dtn2_28->ADB9
138.2000 N2 1000000 1 7.0981 ADB9 dtn2_28 139 N ADB9->dtn2_28
141.2000 M55 2996688 4 32.6995 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
170.7000 M69 2532856 4 39.9045 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
171.2000 M77 1030476 4 29.1870 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
185.6000 M34 2472383 1 111.3306 dtn2_26 ADB9 138 N dtn2_26->ADB9
192.5000 M94 1716388 1 10.6619 dtn2_26 ADB9 139 N dtn2_26->ADB9
193.5000 M52 2483915 5 92.0695 dtn5_35 ADB9 138 N dtn5_35->dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
213.6000 M56 2389225 5 103.0326 dtn5_35 ADB9 138 N dtn5_35->dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
224.7000 M100 2916248 5 30.4656 dtn5_35 ADB9 139 N dtn5_35->dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
248.3000 M119 1116020 4 12.8827 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
261.8000 M109 2444285 1 49.3998 dtn2_26 ADB9 139 N dtn2_26->ADB9
268.7000 M130 1311974 1 5.2611 dtn2_26 ADB9 139 N dtn2_26->ADB9
279.3996 M128 1866374 1 26.2672 dtn2_27 ADB9 139 N dtn2_27->ADB9
285.1000 M133 1400307 1 19.0813 dtn2_27 ADB9 139 N dtn2_27->ADB9
293.0000 M141 1968721 1 14.8528 dtn2_27 ADB9 139 N dtn2_27->ADB9
297.4000 M135 2327479 4 28.4431 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
306.2000 M110 1591502 1 90.4667 dtn2_28 ADB9 138 N dtn2_28->ADB9
311.9000 M114 1422507 1 84.0125 dtn2_28 ADB9 138 N dtn2_28->ADB9
328.6000 M161 2348451 4 18.2796 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
359.3000 M147 1839088 1 74.3775 dtn2_28 ADB9 138 N dtn2_28->ADB9
364.5000 M123 1299189 1 122.9088 dtn2_28 ADB9 137 N dtn2_28->ADB9
372.7000 M176 1265115 4 24.2596 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
385.6000 M190 1878324 4 11.0213 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
398.4000 M196 1807429 4 10.9555 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
403.9000 M158 1182174 1 99.7325 dtn2_27 ADB9 138 N dtn2_27->ADB9
409.9649 M61 1510399 1 293.1766 dtn2_27 ADB9 135 N dtn2_27->ADB9
410.5000 M117 1357260 6 178.8774 dtn8_44 ADB9 137 N dtn8_44->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
421.3000 M53 2183464 6 318.5391 dtn8_44 ADB9 134 N dtn8_44->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
427.1000 M207 2051649 4 17.1351 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
465.8000 M224 1854957 1 22.3797 dtn2_28 ADB9 139 N dtn2_28->ADB9
477.3000 M172 2860878 1 134.3166 dtn2_28 ADB9 137 N dtn2_28->ADB9
482.0000 M211 1157732 1 60.9267 dtn2_28 ADB9 138 N dtn2_28->ADB9
486.0000 M205 2564568 4 80.3457 dtn5_35 ADB9 138 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
504.2000 M213 2082907 1 77.6349 dtn2_27 ADB9 138 N dtn2_27->ADB9
508.4000 M255 1047102 1 5.6326 dtn2_27 ADB9 139 N dtn2_27->ADB9
516.8000 M235 2079901 1 51.5749 dtn2_27 ADB9 139 N dtn2_27->ADB9
521.3000 M226 1110098 1 77.1807 dtn2_27 ADB9 138 N dtn2_27->ADB9
551.4000 M204 1761960 1 146.5269 dtn2_28 ADB9 137 N dtn2_28->ADB9
555.5000 M257 1008399 1 49.7791 dtn2_28 ADB9 139 N dtn2_28->ADB9
562.2000 M192 1663690 1 185.0081 dtn2_28 ADB9 136 N dtn2_28->ADB9
588.1000 M278 2603370 1 41.2280 dtn2_27 ADB9 139 N dtn2_27->ADB9
593.8000 M289 1409966 1 14.4483 dtn2_27 ADB9 139 N dtn2_27->ADB9
595.0000 M292 1617082 4 13.0067 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
620.0000 M302 2505750 1 17.3377 dtn2_28 ADB9 139 N dtn2_28->ADB9
626.7000 M296 1655694 1 38.7349 dtn2_28 ADB9 139 N dtn2_28->ADB9
637.3000 M299 2647560 1 43.2579 dtn2_28 ADB9 139 N dtn2_28->ADB9
649.7000 M279 2214314 1 100.6919 dtn2_26 ADB9 138 N dtn2_26->ADB9
673.4000 M314 2503057 1 39.3612 dtn2_27 ADB9 139 N dtn2_27->ADB9
718.0000 M309 2650058 1 93.2687 dtn2_26 ADB9 138 N dtn2_26->ADB9
748.8000 M342 2678857 1 60.2739 dtn2_28 ADB9 138 N dtn2_28->ADB9
757.4000 M165 2172636 6 435.2931 dtn4_34 ADB9 132 N dtn4_34->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
757.9000 M269 1173392 6 230.7398 dtn4_32 ADB9 136 N dtn4_32->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
772.8000 M371 2155825 1 15.9426 dtn2_27 ADB9 139 N dtn2_27->ADB9
786.3000 M383 1240673 1 4.9694 dtn2_27 ADB9 139 N dtn2_27->ADB9
815.1000 M372 1252565 1 54.5539 dtn2_26 ADB9 139 N dtn2_26->ADB9
822.2000 M388 1762068 1 28.4612 dtn2_26 ADB9 139 N dtn2_26->ADB9
830.9000 M360 1358265 1 97.2241 dtn2_28 ADB9 138 N dtn2_28->ADB9
835.8000 M405 1207088 1 9.3244 dtn2_28 ADB9 139 N dtn2_28->ADB9
844.4000 M305 2145592 1 234.3423 dtn2_28 ADB9 136 N dtn2_28->ADB9
854.0000 M343 1264272 4 153.5883 dtn7_41 ADB9 137 N dtn7_41->ADB14->WIFI_18->WIFI_16->ADB9
854.9000 M339 2149958 4 175.8522 dtn7_41 ADB9 137 N dtn7_41->ADB14->WIFI_18->WIFI_16->ADB9
886.1000 M410 1404189 4 57.1618 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
887.2000 M426 2598267 4 27.4362 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
897.8000 M385 1639864 1 110.1708 dtn2_26 ADB9 138 N dtn2_26->ADB9
904.3000 M365 1623463 1 160.7180 dtn2_26 ADB9 137 N dtn2_26->ADB9
907.6000 M286 1678285 6 332.2287 dtn8_45 ADB9 134 N dtn8_45->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
908.3000 M285 1555418 6 344.3985 dtn8_44 ADB9 134 N dtn8_44->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
909.0000 M183 1650680 6 548.6876 dtn8_44 ADB9 130 N dtn8_44->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
927.2000 M422 1874593 4 74.7992 dtn5_37 ADB9 138 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
928.1000 M418 2220425 4 84.2929 dtn5_37 ADB9 138 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
934.9000 M413 1556109 1 102.1682 dtn2_27 ADB9 138 N dtn2_27->ADB9
941.1000 M417 1531806 1 100.0611 dtn2_27 ADB9 138 N dtn2_27->ADB9
948.2000 M470 1761454 1 8.8154 dtn2_27 ADB9 139 N dtn2_27->ADB9
971.6000 M473 2372250 4 27.0881 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
972.6000 M449 2506099 4 71.1528 dtn5_36 ADB9 138 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
994.4000 M453 1988060 1 75.3828 dtn2_28 ADB9 138 N dtn2_28->ADB9
1002.2000 M406 1941440 1 175.2448 dtn2_28 ADB9 137 N dtn2_28->ADB9
1011.3000 M433 2273182 1 132.3124 dtn2_28 ADB9 137 N dtn2_28->ADB9
1015.5000 M469 2761437 5 76.1231 dtn5_35 ADB9 138 N dtn5_35->dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
1019.9000 M500 1183281 4 10.2668 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1075.3000 M533 1480934 1 5.9479 dtn2_26 ADB9 139 N dtn2_26->ADB9
1085.0000 M524 1819618 4 29.2148 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1108.5000 M498 2607943 1 102.8256 dtn2_28 ADB9 138 N dtn2_28->ADB9
1116.6000 M532 1281165 1 50.8713 dtn2_27 ADB9 139 N dtn2_27->ADB9
1126.4000 M483 2445389 1 166.8082 dtn2_27 ADB9 137 N dtn2_27->ADB9
1156.5000 M535 1973499 1 85.8746 dtn2_26 ADB9 138 N dtn2_26->ADB9
1181.1000 M580 2004019 4 26.8719 dtn5_35 ADB9 139 N dtn5_35->ADB12->WIFI_17->WIFI_16->ADB9
1195.0000 M591 2252095 1 12.5441 dtn2_28 ADB9 139 N dtn2_28->ADB9
1272.1000 M622 1588592 4 15.8607 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1287.4000 M561 2200928 1 176.3368 dtn2_27 ADB9 137 N dtn2_27->ADB9
1295.5000 M615 2011858 1 55.4937 dtn2_27 ADB9 139 N dtn2_27->ADB9
1319.4000 M621 1561040 1 67.2283 dtn2_26 ADB9 138 N dtn2_26->ADB9
1328.2000 M581 1188917 6 173.2045 dtn4_32 ADB9 137 N dtn4_32->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
1328.8000 M548 1524737 6 233.5283 dtn4_32 ADB9 136 N dtn4_32->ADB11->CD21->ADB12->WIFI_17->WIFI_16->ADB9
1356.8000 M641 1708887 6 54.1674 dtn5_36 ADB9 139 N dtn5_36->dtn5_37->dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1357.6000 M655 1864681 4 21.0162 dtn5_36 ADB9 139 N dtn5_36->ADB12->WIFI_17->WIFI_16->ADB9
1369.4000 M653 2889318 4 34.6565 dtn5_37 ADB9 139 N dtn5_37->ADB12->WIFI_17->WIFI_16->ADB9
1403.2000 M664 1008641 1 55.3628 dtn2_28 ADB9 139 N dtn2_28->ADB9
1408.9000 M536 1402523 1 336.7643 dtn2_28 ADB9 134 N dtn2_28->ADB9
1423.5000 M565 2436332 6 299.2997 dtn8_46 ADB9 135 N dtn8_46->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
1424.1000 M555 1321831 6 321.8262 dtn8_46 ADB9 134 N dtn8_46->ADB15->CD19->ADB14->WIFI_18->WIFI_16->ADB9
1476.8000 M708 1565990 1 39.5684 dtn2_27 ADB9 139 N dtn2_27->ADB9
